Title,Author,State,District,Date of Challenge/Removal,Ban Status,Initiating Action
White Hot Kiss,"Armentrout, Jennifer L.",Florida,Clay County School District,October 2023,Banned,Formal Challenge
Nightbirds,"Armstrong, Kate J.",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Aftermath,"Armstrong, Kelley",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
City of the Lost: A Rockton Novel,"Armstrong, Kelley",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Sea of Shadows,"Armstrong, Kelley",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Awakening (KA),"Armstrong, Kelley",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Gathering (KA),"Armstrong, Kelley",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Masked Truth,"Armstrong, Kelley",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
The Reckoning,"Armstrong, Kelley",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Mosquitoland,"Arnold, David",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Electric Kingdom,"Arnold, David",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Damsel,"Arnold, Elana K.",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Infandous,"Arnold, Elana K.",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Red Hood,"Arnold, Elana K.",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge
What Girls Are Made Of,"Arnold, Elana K.",Florida,Collier County Public Schools,October 2023,Banned,Unclear
What Riley Wore,"Arnold, Elana K.",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Witch-Hunt: Mysteries of the Salem Witch Trials,"Aronson, Marc",Iowa,West Burlington Independent School District,June 2024,Banned,Administration
All the Pretty Things,"Arsenault, Emily",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Goodnight Punpun,"Asano, Inio",Iowa,Boone Community School District,June 2024,Banned,Administration
It's Bigger Than Hip Hop: The Rise of the Post-Hip-Hop Generation,"Asante Jr., M. K.",Florida,Lee County Schools,June 2024,Banned by restriction,Administration
If They Come for Us: Poems,"Asghar, Fatimah",Iowa,Clarion-Goldfield-Dows Community School District,June 2024,Banned pending investigation,Administration
Future of Us,"Asher, Jay",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Thirteen Reasons Why,"Asher, Jay",Florida,Alachua County Public Schools,October 2023,Banned,Formal Challenge
"World Trigger (Series, Title Not Specified)","Ashihara, Daisuke",Texas,North East Independent School District,June 2024,Banned,Administration
The Words in my Hands,Asphyxia,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Lightlark,"Aster, Alex",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Somewhere Towards the End,"Athill, Diana",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Alt Ed,"Atkins, Catherine",Florida,Seminole County Public Schools,September 2023,Banned by restriction,Administration
The Black Flamingo,"Atta, Dean",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Alias Grace,"Atwood, Margaret",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
Hag-Seed: William Shakespeare's The Tempest Retold,"Atwood, Margaret",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
MaddAddam,"Atwood, Margaret",Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
Oryx and Crake,"Atwood, Margaret",Florida,Bay District Schools,April 2024,Banned,Formal Challenge
The Blind Assassin,"Atwood, Margaret",Florida,Orange County Public Schools,June 2024,Banned by restriction,Administration
The Handmaid's Tale,"Atwood, Margaret",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",Alaska,Matanuska-Susitna Borough School District,September 2023,Banned pending investigation,Formal Challenge
The Testaments,"Atwood, Margaret",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Year of the Flood,"Atwood, Margaret",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
The Clan of the Cave Bear,"Auel, Jean M.",Florida,Clay County School District,July 2023,Banned,Formal Challenge
The Mammoth Hunters,"Auel, Jean M.",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
The Valley of Horses,"Auel, Jean M.",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Worm Loves Worm,"Austrian, J.J.",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Chasing Shadows,"Avasthi, Swati",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Memory Book,"Avery, Lara",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Broken Throne: A Red Queen Collection,"Aveyard, Victoria",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Cruel Crown,"Aveyard, Victoria",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Glass Sword,"Aveyard, Victoria",Florida,Escambia County Public Schools,November 2023,Banned by restriction,Administration
King's Cage,"Aveyard, Victoria",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
Red Queen,"Aveyard, Victoria",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
War Storm,"Aveyard, Victoria",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Tale of John Barleycorn: Or From Barley to Beer,"Azarian, Mary",Florida,Orange County Public Schools,December 2023,Banned pending investigation,Administration
Drowned Cities,"Bacigalupi, Paolo",Wisconsin,Elkhorn Area School District,November 2023,Banned by restriction,"Informal Challenge, Administration"
Ship Breaker,"Bacigalupi, Paolo",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Doubt Factory,"Bacigalupi, Paolo",Florida,Escambia County Public Schools,August 2023,Banned by restriction,Administration
The Windup Girl,"Bacigalupi, Paolo",Iowa,Melcher-Dallas Community School District,December 2023,Banned pending investigation,Administration
My Friend Dahmer,"Backderf, Derf",Florida,Orange County Public Schools,December 2023,Banned by restriction,Administration
Beartown,"Backman, Fredrik",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Forgotten Fire,"Bagdasarian, Adam",Florida,Collier County Public Schools,October 2023,Banned,Administration
Brazen: Rebel Ladies Who Rocked the World,"Bagieu, Pénélope",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Obie is Man Enough,"Bailar, Schuyler",Iowa,Clear Creek-Amana Community School District,June 2024,Banned pending investigation,Administration
Cheever: A Life,"Bailey, Blake",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
Teen Hyde,"Baker, Chandler",Florida,Escambia County Public Schools,December 2023,Banned pending investigation,Administration
If You Find This,"Baker, Matthew",Florida,Clay County School District,March 2024,Banned,Formal Challenge
